inventory_id,extension,status,method,conversion_quality,raw_output_path_ignored,sanitized_note
SRC-000433,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000433.txt,docs/00-source-notes/src-000433.md
SRC-000434,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000434.txt,docs/00-source-notes/src-000434.md
SRC-000435,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000435.txt,docs/00-source-notes/src-000435.md
SRC-000436,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000436.txt,docs/00-source-notes/src-000436.md
SRC-000437,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000437.txt,docs/00-source-notes/src-000437.md
SRC-000438,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000438.txt,docs/00-source-notes/src-000438.md
SRC-000439,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000439.txt,docs/00-source-notes/src-000439.md
SRC-000440,,not-convertible,metadata-only,not-applicable,,
SRC-000441,.xls,metadata-only,office-xml-failed:BadZipFile,no-text-extracted,.work/extracted/SRC-000441.txt,docs/00-source-notes/src-000441.md
SRC-000442,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000442.txt,docs/00-source-notes/src-000442.md
SRC-000443,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000443.txt,docs/00-source-notes/src-000443.md
SRC-000444,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000444.txt,docs/00-source-notes/src-000444.md
SRC-000445,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000445.txt,docs/00-source-notes/src-000445.md
SRC-000446,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000446.txt,docs/00-source-notes/src-000446.md
SRC-000447,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000447.txt,docs/00-source-notes/src-000447.md
SRC-000448,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000448.txt,docs/00-source-notes/src-000448.md
SRC-000449,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000449.txt,docs/00-source-notes/src-000449.md
SRC-000450,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000450.txt,docs/00-source-notes/src-000450.md
SRC-000451,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000451.txt,docs/00-source-notes/src-000451.md
SRC-000452,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000452.txt,docs/00-source-notes/src-000452.md
SRC-000453,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000453.txt,docs/00-source-notes/src-000453.md
SRC-000454,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000454.txt,docs/00-source-notes/src-000454.md
SRC-000455,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000455.txt,docs/00-source-notes/src-000455.md
SRC-000456,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000456.txt,docs/00-source-notes/src-000456.md
SRC-000457,,not-convertible,metadata-only,not-applicable,,
SRC-000458,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000458.txt,docs/00-source-notes/src-000458.md
SRC-000459,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000459.txt,docs/00-source-notes/src-000459.md
SRC-000460,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000460.txt,docs/00-source-notes/src-000460.md
SRC-000461,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000461.txt,docs/00-source-notes/src-000461.md
SRC-000462,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000462.txt,docs/00-source-notes/src-000462.md
SRC-000463,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000463.txt,docs/00-source-notes/src-000463.md
SRC-000464,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000464.txt,docs/00-source-notes/src-000464.md
SRC-000465,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000465.txt,docs/00-source-notes/src-000465.md
SRC-000466,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000466.txt,docs/00-source-notes/src-000466.md
SRC-000467,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000467.txt,docs/00-source-notes/src-000467.md
SRC-000468,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000468.txt,docs/00-source-notes/src-000468.md
SRC-000469,,not-convertible,metadata-only,not-applicable,,
SRC-000470,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000470.txt,docs/00-source-notes/src-000470.md
SRC-000471,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000471.txt,docs/00-source-notes/src-000471.md
SRC-000472,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000472.txt,docs/00-source-notes/src-000472.md
SRC-000473,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000473.txt,docs/00-source-notes/src-000473.md
SRC-000474,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000474.txt,docs/00-source-notes/src-000474.md
SRC-000475,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000475.txt,docs/00-source-notes/src-000475.md
SRC-000476,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000476.txt,docs/00-source-notes/src-000476.md
SRC-000477,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000477.txt,docs/00-source-notes/src-000477.md
SRC-000478,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000478.txt,docs/00-source-notes/src-000478.md
SRC-000479,,not-convertible,metadata-only,not-applicable,,
SRC-000480,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000480.txt,docs/00-source-notes/src-000480.md
SRC-000481,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000481.txt,docs/00-source-notes/src-000481.md
SRC-000482,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000482.txt,docs/00-source-notes/src-000482.md
SRC-000483,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000483.txt,docs/00-source-notes/src-000483.md
SRC-000484,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000484.txt,docs/00-source-notes/src-000484.md
SRC-000485,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000485.txt,docs/00-source-notes/src-000485.md
SRC-000486,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000486.txt,docs/00-source-notes/src-000486.md
SRC-000487,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000487.txt,docs/00-source-notes/src-000487.md
SRC-000488,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000488.txt,docs/00-source-notes/src-000488.md
SRC-000489,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000489.txt,docs/00-source-notes/src-000489.md
SRC-000490,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000490.txt,docs/00-source-notes/src-000490.md
SRC-000491,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000491.txt,docs/00-source-notes/src-000491.md
SRC-000492,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000492.txt,docs/00-source-notes/src-000492.md
